Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
San Antonio Spurs,10.0,240.0,38.7,82.5,0.469,8.2,19.1,0.429,30.5,63.4,0.481,16.4,20.5,0.8,7.9,31.6,39.5,21.3,9.1,7.0,11.6,18.2,102.0,2016,,True
Atlanta Hawks,10.0,242.5,36.6,84.8,0.432,10.6,31.8,0.333,26.0,53.0,0.491,16.3,20.5,0.795,8.9,35.4,44.3,22.6,7.5,7.6,14.4,20.2,100.1,2016,,True
Los Angeles Clippers,6.0,240.0,37.2,85.0,0.437,5.7,19.5,0.291,31.5,65.5,0.481,18.3,29.3,0.625,11.3,34.8,46.2,18.2,8.5,4.7,9.7,20.5,98.3,2016,,True
Miami Heat,14.0,245.4,36.9,80.5,0.458,6.9,19.1,0.358,30.0,61.4,0.489,16.3,21.3,0.765,9.1,35.1,44.2,16.4,5.4,5.9,13.1,21.2,96.9,2016,,True
Detroit Pistons,4.0,240.0,36.0,75.3,0.478,8.8,23.3,0.376,27.3,52.0,0.524,14.3,22.0,0.648,7.0,30.8,37.8,21.8,5.3,3.3,10.5,19.0,95.0,2016,,True
Boston Celtics,6.0,244.2,34.3,89.5,0.384,8.7,31.5,0.275,25.7,58.0,0.443,16.5,21.0,0.786,10.7,35.3,46.0,21.0,6.3,6.5,14.7,22.0,93.8,2016,,True
Dallas Mavericks,5.0,240.0,35.4,81.2,0.436,6.2,21.4,0.29,29.2,59.8,0.488,16.8,24.2,0.694,9.2,25.8,35.0,20.6,6.0,2.4,11.8,24.0,93.8,2016,,True
Indiana Pacers,7.0,240.0,33.0,74.9,0.441,8.1,21.3,0.383,24.9,53.6,0.464,19.6,23.9,0.82,9.1,30.1,39.3,18.1,7.6,5.6,14.4,22.3,93.7,2016,,True
Toronto Raptors,20.0,243.8,34.3,81.4,0.421,6.9,23.0,0.298,27.4,58.5,0.469,18.1,24.5,0.737,10.8,29.6,40.4,15.7,7.5,3.7,13.0,21.9,93.4,2016,,True
Houston Rockets,5.0,240.0,33.0,85.6,0.386,7.6,28.4,0.268,25.4,57.2,0.444,17.6,27.4,0.642,14.4,33.0,47.4,18.0,8.4,4.2,19.0,25.6,91.2,2016,,True
Charlotte Hornets,7.0,240.0,31.9,80.4,0.396,5.7,18.6,0.308,26.1,61.9,0.423,20.9,24.9,0.839,7.1,29.7,36.9,13.6,5.7,3.3,9.4,17.4,90.3,2016,,True
Memphis Grizzlies,4.0,240.0,32.0,81.3,0.394,4.8,16.0,0.297,27.3,65.3,0.418,12.3,17.5,0.7,13.8,27.3,41.0,16.5,7.8,4.0,15.5,21.5,81.0,2016,,True
League Average,11.0,241.5,36.5,83.1,0.44,9.1,25.8,0.354,27.4,57.3,0.478,17.6,23.6,0.747,10.5,32.5,43.0,19.9,7.3,5.0,13.2,21.1,99.8,2016,,True
Golden State Warriors,82.0,241.2,43.1,87.1,0.495,12.0,31.2,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,2017,True,False
Houston Rockets,82.0,241.2,40.3,87.2,0.462,14.4,40.3,0.357,25.9,46.9,0.552,20.3,26.5,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,2017,True,False
Denver Nuggets,82.0,240.9,41.2,87.7,0.469,10.6,28.8,0.368,30.6,58.9,0.519,18.7,24.2,0.774,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7,2017,False,False
Cleveland Cavaliers,82.0,242.4,39.9,84.9,0.47,13.0,33.9,0.384,26.9,51.0,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3,2017,True,False
Washington Wizards,82.0,242.1,41.3,87.0,0.475,9.2,24.8,0.372,32.1,62.3,0.515,17.3,22.1,0.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,2017,True,False
Los Angeles Clippers,82.0,240.9,39.5,83.2,0.475,10.3,27.4,0.375,29.3,55.8,0.525,19.3,26.0,0.745,9.0,34.0,43.0,22.5,7.5,4.2,13.0,19.8,108.7,2017,True,False
Boston Celtics,82.0,240.9,38.6,85.1,0.454,12.0,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,2017,True,False
Portland Trail Blazers,82.0,243.0,39.5,86.1,0.459,10.4,27.7,0.375,29.2,58.4,0.499,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9,2017,True,False
Phoenix Suns,82.0,241.8,39.9,88.5,0.45,7.5,22.6,0.332,32.4,65.9,0.491,20.4,26.3,0.776,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7,2017,False,False
Toronto Raptors,82.0,241.2,39.2,84.4,0.464,8.8,24.3,0.363,30.3,60.0,0.505,19.7,24.7,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,2017,True,False
Oklahoma City Thunder,82.0,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31.0,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,2017,True,False
Brooklyn Nets,82.0,240.9,37.8,85.2,0.444,10.7,31.6,0.338,27.1,53.6,0.506,19.4,24.6,0.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8,2017,False,False
Minnesota Timberwolves,82.0,241.5,39.5,84.4,0.467,7.3,21.0,0.349,32.1,63.4,0.507,19.3,24.2,0.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6,2017,False,False
San Antonio Spurs,82.0,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22.0,0.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3,2017,True,False
Indiana Pacers,82.0,242.1,39.3,84.5,0.465,8.6,23.0,0.376,30.6,61.5,0.498,17.9,22.1,0.81,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1,2017,True,False
Charlotte Hornets,82.0,241.8,37.7,85.4,0.442,10.0,28.6,0.351,27.7,56.7,0.488,19.4,23.8,0.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9,2017,False,False
Los Angeles Lakers,82.0,240.3,39.3,87.4,0.45,8.9,25.7,0.346,30.4,61.6,0.493,17.0,22.6,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,2017,False,False
New Orleans Pelicans,82.0,242.7,39.1,87.0,0.45,9.4,26.8,0.35,29.8,60.2,0.495,16.7,22.3,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,2017,False,False
New York Knicks,82.0,242.1,39.6,88.5,0.447,8.6,24.7,0.348,31.0,63.8,0.485,16.6,21.1,0.788,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,2017,False,False
Milwaukee Bucks,82.0,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30.0,58.2,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6,2017,True,False
Atlanta Hawks,82.0,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,2017,True,False
Miami Heat,82.0,241.2,39.0,85.8,0.455,9.9,27.0,0.365,29.2,58.8,0.496,15.2,21.6,0.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2,2017,False,False
Chicago Bulls,82.0,241.2,38.6,87.1,0.444,7.6,22.3,0.34,31.0,64.8,0.479,18.0,22.5,0.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,2017,True,False
Sacramento Kings,82.0,242.4,37.9,82.1,0.461,9.0,23.9,0.376,28.9,58.2,0.496,18.1,23.3,0.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8,2017,False,False
Philadelphia 76ers,82.0,241.8,37.7,85.3,0.442,10.1,29.8,0.34,27.5,55.5,0.496,17.0,22.0,0.771,9.8,33.0,42.8,23.8,8.4,5.1,16.7,21.9,102.4,2017,False,False
Detroit Pistons,82.0,241.5,39.9,88.8,0.449,7.7,23.4,0.33,32.2,65.5,0.492,13.9,19.3,0.719,11.1,34.6,45.7,21.1,7.0,3.8,11.9,17.9,101.3,2017,False,False
Orlando Magic,82.0,241.5,38.3,87.0,0.44,8.5,26.1,0.328,29.7,60.9,0.488,16.0,21.4,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,2017,False,False
Utah Jazz,82.0,240.9,37.0,79.5,0.466,9.6,26.0,0.372,27.3,53.5,0.511,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7,2017,True,False
Memphis Grizzlies,82.0,242.7,36.4,83.6,0.435,9.4,26.5,0.354,27.0,57.1,0.473,18.3,23.4,0.784,10.8,32.0,42.8,21.3,8.0,4.2,12.9,22.4,100.5,2017,True,False
Dallas Mavericks,82.0,241.2,36.2,82.3,0.44,10.7,30.2,0.355,25.5,52.2,0.489,14.8,18.5,0.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9,2017,False,False
League Average,82.0,241.6,39.0,85.4,0.457,9.7,27.0,0.358,29.4,58.4,0.503,17.8,23.1,0.772,10.1,33.4,43.5,22.6,7.7,4.7,14.0,19.9,105.6,2017,False,False
Golden State Warriors,17.0,240.0,42.9,87.0,0.494,12.7,32.9,0.386,30.2,54.1,0.559,20.7,25.4,0.815,9.3,36.5,45.8,28.2,8.7,6.1,13.6,21.8,119.3,2017,,True
Cleveland Cavaliers,18.0,240.0,40.9,83.1,0.493,14.2,33.9,0.42,26.7,49.2,0.544,20.1,26.2,0.767,9.2,32.9,42.2,22.1,7.4,4.7,13.1,18.8,116.2,2017,,True
Indiana Pacers,4.0,240.0,40.5,87.0,0.466,11.3,28.8,0.391,29.3,58.3,0.502,16.5,21.5,0.767,11.8,30.3,42.0,22.5,8.0,3.8,13.3,22.8,108.8,2017,,True
Washington Wizards,13.0,241.9,40.1,87.6,0.457,8.4,26.5,0.317,31.7,61.2,0.518,19.5,24.6,0.794,11.2,31.8,43.0,22.8,7.9,6.6,13.8,23.0,108.1,2017,,True
Houston Rockets,11.0,242.3,37.3,85.0,0.439,12.8,38.5,0.333,24.5,46.5,0.525,20.4,25.8,0.789,9.9,33.0,42.9,19.5,7.7,4.6,14.0,20.9,107.7,2017,,True
San Antonio Spurs,16.0,243.1,40.0,86.6,0.462,8.6,24.4,0.35,31.4,62.1,0.506,18.5,23.9,0.773,12.8,31.7,44.4,21.3,7.8,4.7,12.8,18.8,107.1,2017,,True
Atlanta Hawks,6.0,240.0,37.5,84.5,0.444,8.3,27.3,0.305,29.2,57.2,0.51,22.2,29.0,0.764,11.3,33.0,44.3,22.3,6.0,3.3,16.0,21.3,105.5,2017,,True
Boston Celtics,18.0,241.4,38.4,84.1,0.457,12.7,34.4,0.369,25.7,49.6,0.517,15.7,20.3,0.773,9.4,28.5,37.9,26.9,7.7,4.1,13.4,20.8,105.2,2017,,True
Oklahoma City Thunder,5.0,240.0,38.6,87.4,0.442,8.4,27.0,0.311,30.2,60.4,0.5,18.6,27.0,0.689,12.2,31.4,43.6,19.8,8.4,8.0,12.8,22.2,104.2,2017,,True
Portland Trail Blazers,4.0,240.0,35.5,89.5,0.397,11.0,34.0,0.324,24.5,55.5,0.441,19.5,24.3,0.804,10.0,34.0,44.0,15.8,7.3,4.8,15.3,21.8,101.5,2017,,True
Utah Jazz,11.0,240.0,35.6,78.4,0.455,9.5,25.9,0.365,26.2,52.5,0.499,17.1,23.4,0.732,6.7,32.4,39.1,19.7,7.4,3.2,12.1,21.1,97.8,2017,,True
Los Angeles Clippers,7.0,240.0,36.4,77.0,0.473,8.1,23.4,0.348,28.3,53.6,0.528,16.7,24.0,0.696,7.7,30.1,37.9,18.4,6.3,2.4,12.1,20.3,97.7,2017,,True
Toronto Raptors,10.0,240.0,35.3,79.5,0.444,7.8,23.5,0.332,27.5,56.0,0.491,18.3,22.5,0.813,6.8,32.5,39.3,19.6,7.4,4.4,12.9,20.9,96.7,2017,,True
Chicago Bulls,6.0,240.0,36.3,82.5,0.44,7.0,23.5,0.298,29.3,59.0,0.497,16.8,19.8,0.849,12.5,34.2,46.7,20.0,7.2,5.2,15.3,18.3,96.5,2017,,True
Memphis Grizzlies,6.0,244.2,34.7,77.2,0.449,9.3,24.2,0.386,25.3,53.0,0.478,17.7,20.3,0.869,7.7,27.8,35.5,18.8,5.2,2.5,11.3,22.2,96.3,2017,,True
Milwaukee Bucks,6.0,240.0,34.8,78.2,0.446,9.0,21.7,0.415,25.8,56.5,0.457,14.5,20.8,0.696,8.2,29.8,38.0,21.2,8.2,5.0,13.3,21.3,93.2,2017,,True
League Average,10.0,240.9,38.5,83.7,0.46,10.5,29.1,0.361,28.0,54.6,0.513,18.5,23.8,0.776,9.7,32.1,41.8,22.2,7.6,4.7,13.3,20.8,106.0,2017,,True
Golden State Warriors,82.0,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5,2018,True,False
Houston Rockets,82.0,240.9,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.558,19.6,25.1,0.781,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,2018,True,False
New Orleans Pelicans,82.0,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7,2018,True,False
Toronto Raptors,82.0,241.8,41.3,87.4,0.472,11.8,33.0,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7,2018,True,False
Cleveland Cavaliers,82.0,240.6,40.4,84.8,0.476,12.0,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,2018,True,False
Denver Nuggets,82.0,242.4,40.7,86.6,0.47,11.5,30.9,0.371,29.2,55.7,0.525,17.1,22.3,0.767,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0,2018,False,False
Philadelphia 76ers,82.0,241.2,40.8,86.6,0.472,11.0,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,2018,True,False
Minnesota Timberwolves,82.0,241.5,41.0,86.1,0.476,8.0,22.5,0.357,33.0,63.6,0.519,19.4,24.1,0.804,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5,2018,True,False
Los Angeles Clippers,82.0,240.3,40.3,85.4,0.471,9.5,26.8,0.354,30.8,58.6,0.525,19.0,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0,2018,False,False
Charlotte Hornets,82.0,241.2,39.0,86.7,0.45,10.0,27.2,0.369,28.9,59.4,0.487,20.2,27.0,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,2018,False,False
Los Angeles Lakers,82.0,242.7,40.7,88.4,0.461,10.0,29.1,0.345,30.7,59.3,0.517,16.6,23.3,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,2018,False,False
Oklahoma City Thunder,82.0,241.8,39.9,88.1,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,2018,True,False
Washington Wizards,82.0,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30.0,59.1,0.508,16.8,21.8,0.772,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,2018,True,False
Brooklyn Nets,82.0,242.1,38.2,86.8,0.441,12.7,35.7,0.356,25.5,51.1,0.5,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,2018,False,False
Milwaukee Bucks,82.0,241.8,39.7,83.0,0.478,8.8,24.7,0.355,31.0,58.3,0.531,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,2018,True,False
Indiana Pacers,82.0,240.9,40.8,86.4,0.472,9.0,24.5,0.369,31.8,61.9,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,2018,True,False
Portland Trail Blazers,82.0,240.9,39.3,87.0,0.452,10.3,28.1,0.366,29.0,58.8,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6,2018,True,False
New York Knicks,82.0,241.8,40.7,87.7,0.464,8.2,23.3,0.352,32.5,64.4,0.504,14.9,19.0,0.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5,2018,False,False
Utah Jazz,82.0,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,2018,True,False
Boston Celtics,82.0,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16.0,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,2018,True,False
Phoenix Suns,82.0,240.3,38.5,87.1,0.442,9.3,27.9,0.334,29.1,59.2,0.492,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9,2018,False,False
Detroit Pistons,82.0,241.5,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58.0,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,2018,False,False
Miami Heat,82.0,243.0,38.8,85.3,0.455,11.0,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,2018,True,False
Orlando Magic,82.0,240.6,38.8,85.9,0.452,10.3,29.3,0.351,28.5,56.5,0.504,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,2018,False,False
Atlanta Hawks,82.0,240.3,38.2,85.5,0.446,11.2,31.0,0.36,27.0,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,2018,False,False
Chicago Bulls,82.0,242.1,38.7,88.8,0.435,11.0,31.1,0.355,27.6,57.8,0.478,14.6,19.2,0.759,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9,2018,False,False
San Antonio Spurs,82.0,240.6,39.0,85.4,0.457,8.5,24.1,0.352,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,2018,True,False
Dallas Mavericks,82.0,241.5,38.1,85.9,0.444,11.8,32.8,0.36,26.4,53.1,0.496,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3,2018,False,False
Memphis Grizzlies,82.0,240.3,36.7,82.8,0.444,9.2,26.2,0.352,27.5,56.5,0.486,16.6,21.1,0.786,9.5,31.0,40.5,21.5,7.5,4.8,15.0,23.2,99.3,2018,False,False
Sacramento Kings,82.0,240.9,38.8,86.1,0.45,9.0,24.0,0.375,29.8,62.1,0.479,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8,2018,False,False
League Average,82.0,241.4,39.6,86.1,0.46,10.5,29.0,0.362,29.1,57.1,0.51,16.6,21.7,0.767,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3,2018,False,False
Golden State Warriors,21.0,241.2,41.2,86.0,0.48,11.2,31.4,0.357,30.0,54.6,0.55,16.8,20.4,0.822,9.1,35.9,45.0,26.0,7.9,5.8,12.9,19.7,110.4,2018,,True
New Orleans Pelicans,9.0,240.0,42.9,89.8,0.478,9.9,27.0,0.366,33.0,62.8,0.526,14.3,18.3,0.782,7.9,37.7,45.6,26.9,8.1,5.0,14.4,19.3,110.0,2018,,True
Philadelphia 76ers,10.0,242.5,38.7,88.5,0.437,9.9,29.3,0.338,28.8,59.2,0.486,21.5,28.3,0.76,13.4,36.1,49.5,25.8,7.8,4.1,14.6,22.8,108.8,2018,,True
Toronto Raptors,10.0,242.5,38.9,82.3,0.473,10.4,26.7,0.39,28.5,55.6,0.513,19.1,23.9,0.799,9.4,30.7,40.1,21.8,5.7,6.1,14.0,22.6,107.3,2018,,True
Washington Wizards,6.0,240.0,39.7,85.2,0.466,8.0,21.8,0.366,31.7,63.3,0.5,19.8,23.3,0.85,8.5,31.5,40.0,23.3,7.8,5.2,13.5,21.0,107.2,2018,,True
Portland Trail Blazers,4.0,240.0,41.3,91.0,0.453,10.8,32.3,0.333,30.5,58.8,0.519,12.3,15.8,0.778,11.3,32.3,43.5,19.0,8.3,3.8,14.5,20.5,105.5,2018,,True
Houston Rockets,17.0,240.0,37.2,85.3,0.436,13.4,39.8,0.337,23.8,45.5,0.522,17.2,22.2,0.772,8.8,34.2,43.0,18.8,8.1,5.5,12.1,19.1,104.9,2018,,True
Miami Heat,5.0,240.0,36.6,82.8,0.442,10.8,27.6,0.391,25.8,55.2,0.467,19.4,28.6,0.678,9.6,31.4,41.0,23.8,8.8,6.4,16.0,29.2,103.4,2018,,True
Utah Jazz,11.0,240.0,37.7,82.9,0.455,10.7,29.9,0.359,27.0,53.0,0.509,16.2,23.5,0.687,9.4,35.6,45.0,20.3,7.5,5.0,15.5,20.5,102.4,2018,,True
Milwaukee Bucks,7.0,243.6,39.1,78.3,0.5,9.6,25.7,0.372,29.6,52.6,0.563,14.0,19.9,0.705,5.6,33.0,38.6,22.0,6.6,6.7,13.1,22.9,101.9,2018,,True
Minnesota Timberwolves,5.0,240.0,38.0,82.6,0.46,9.0,21.8,0.413,29.0,60.8,0.477,16.6,22.8,0.728,8.6,36.6,45.2,22.4,5.0,3.2,12.6,18.2,101.6,2018,,True
Boston Celtics,19.0,242.6,36.4,83.3,0.437,10.5,30.6,0.343,25.9,52.7,0.493,18.1,23.5,0.767,8.8,32.8,41.7,21.2,6.8,4.1,11.6,20.4,101.4,2018,,True
Oklahoma City Thunder,6.0,240.0,37.2,86.5,0.43,10.5,28.8,0.364,26.7,57.7,0.462,16.3,21.2,0.772,9.3,34.7,44.0,16.3,8.8,4.2,14.0,21.7,101.2,2018,,True
Cleveland Cavaliers,22.0,242.3,36.9,81.9,0.45,10.0,30.3,0.331,26.8,51.5,0.52,17.4,23.1,0.752,9.8,31.6,41.4,19.2,6.0,4.4,12.7,19.5,101.1,2018,,True
Indiana Pacers,7.0,240.0,38.6,80.1,0.481,9.7,27.1,0.358,28.9,53.0,0.544,13.7,19.3,0.711,8.1,31.9,40.0,21.1,8.1,2.7,13.1,21.9,100.6,2018,,True
San Antonio Spurs,5.0,240.0,34.6,83.8,0.413,8.4,28.2,0.298,26.2,55.6,0.471,19.2,23.0,0.835,8.4,29.2,37.6,19.0,7.6,3.0,11.0,20.4,96.8,2018,,True
League Average,10.0,241.2,38.4,84.2,0.456,10.5,29.9,0.351,27.9,54.3,0.513,17.2,22.5,0.765,9.2,33.7,42.8,21.8,7.3,4.8,13.2,20.7,104.4,2018,,True
Milwaukee Bucks,82.0,241.2,43.4,91.1,0.476,13.5,38.2,0.353,29.9,52.9,0.565,17.9,23.2,0.773,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1,2019,True,False
Golden State Warriors,82.0,241.5,44.0,89.8,0.491,13.3,34.4,0.385,30.8,55.3,0.557,16.3,20.4,0.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,2019,True,False
New Orleans Pelicans,82.0,240.9,43.7,92.2,0.473,10.3,29.9,0.344,33.4,62.4,0.536,17.8,23.4,0.761,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4,2019,False,False
Philadelphia 76ers,82.0,241.5,41.5,88.2,0.471,10.8,30.2,0.359,30.7,58.0,0.529,21.2,27.5,0.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2,2019,True,False
Los Angeles Clippers,82.0,241.8,41.3,87.5,0.471,10.0,25.8,0.388,31.3,61.7,0.507,22.6,28.5,0.792,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1,2019,True,False
Portland Trail Blazers,82.0,242.1,42.3,90.6,0.467,11.0,30.7,0.359,31.3,59.8,0.523,19.0,23.3,0.814,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7,2019,True,False
Oklahoma City Thunder,82.0,242.1,42.6,94.0,0.454,11.4,32.6,0.348,31.3,61.3,0.51,17.8,25.0,0.713,12.6,35.5,48.1,23.4,9.3,5.2,14.0,22.4,114.5,2019,True,False
Toronto Raptors,82.0,242.4,42.2,89.1,0.474,12.4,33.8,0.366,29.8,55.3,0.539,17.7,22.0,0.804,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4,2019,True,False
Sacramento Kings,82.0,240.6,43.2,93.1,0.464,11.3,29.9,0.378,31.9,63.2,0.504,16.5,22.7,0.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,2019,False,False
Washington Wizards,82.0,243.0,42.1,90.1,0.468,11.3,33.3,0.341,30.8,56.8,0.543,18.4,23.9,0.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0,2019,False,False
Houston Rockets,82.0,241.8,39.2,87.4,0.449,16.1,45.4,0.356,23.1,42.0,0.551,19.3,24.4,0.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9,2019,True,False
Atlanta Hawks,82.0,242.1,41.4,91.8,0.451,13.0,37.0,0.352,28.4,54.8,0.518,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3,2019,False,False
Minnesota Timberwolves,82.0,241.8,41.6,91.3,0.456,10.1,28.7,0.351,31.5,62.5,0.504,19.1,24.3,0.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5,2019,False,False
Boston Celtics,82.0,241.2,42.1,90.5,0.465,12.6,34.5,0.365,29.5,56.0,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,2019,True,False
Brooklyn Nets,82.0,243.7,40.3,89.7,0.449,12.8,36.2,0.353,27.5,53.6,0.513,19.0,25.5,0.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2,2019,True,False
Los Angeles Lakers,82.0,241.2,42.6,90.5,0.47,10.3,31.0,0.333,32.2,59.6,0.541,16.3,23.3,0.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8,2019,False,False
San Antonio Spurs,82.0,241.5,42.3,88.4,0.478,9.9,25.3,0.392,32.4,63.1,0.513,17.2,21.0,0.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7,2019,True,False
Utah Jazz,82.0,240.9,40.4,86.4,0.468,12.1,34.0,0.356,28.3,52.4,0.541,18.8,25.5,0.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7,2019,True,False
Denver Nuggets,82.0,240.6,41.9,90.0,0.466,11.0,31.4,0.351,30.9,58.7,0.527,15.8,20.9,0.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7,2019,True,False
