Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
Detroit Pistons,10.0,240.0,44.6,104.3,0.428,,,,44.6,104.3,0.428,26.1,35.9,0.727,,,63.5,23.2,,,,27.3,115.3,1962,,True
Boston Celtics,14.0,241.8,44.6,109.7,0.407,,,,44.6,109.7,0.407,25.6,34.9,0.734,,,66.7,25.7,,,,29.1,114.9,1962,,True
Philadelphia Warriors,12.0,240.0,38.9,100.8,0.386,,,,38.9,100.8,0.386,28.3,39.4,0.717,,,73.6,20.3,,,,25.3,106.1,1962,,True
Syracuse Nationals,5.0,240.0,37.4,101.2,0.37,,,,37.4,101.2,0.37,24.4,30.2,0.808,,,69.4,17.2,,,,27.8,99.2,1962,,True
League Average,10.0,240.9,42.4,103.3,0.411,,,,42.4,103.3,0.411,27.8,37.2,0.748,,,68.4,22.5,,,,27.1,112.6,1962,,True
Syracuse Nationals,80.0,,46.1,103.6,0.445,,,,46.1,103.6,0.445,29.4,37.6,0.782,,,69.0,21.8,,,,28.5,121.6,1963,True,False
Cincinnati Royals,80.0,,45.9,100.0,0.459,,,,45.9,100.0,0.459,27.3,36.5,0.747,,,69.5,24.1,,,,27.5,119.1,1963,True,False
Boston Celtics,80.0,,46.8,109.7,0.427,,,,46.8,109.7,0.427,25.2,34.7,0.725,,,72.7,24.5,,,,26.1,118.8,1963,True,False
San Francisco Warriors,80.0,,47.6,105.6,0.45,,,,47.6,105.6,0.45,23.4,35.0,0.669,,,67.0,23.8,,,,23.5,118.5,1963,False,False
Los Angeles Lakers,80.0,,43.8,99.4,0.441,,,,43.8,99.4,0.441,27.9,36.6,0.761,,,66.0,21.7,,,,22.2,115.5,1963,True,False
Detroit Pistons,80.0,,44.2,102.4,0.432,,,,44.2,102.4,0.432,25.6,35.7,0.717,,,66.4,21.6,,,,27.3,113.9,1963,True,False
New York Knicks,80.0,,42.9,100.1,0.429,,,,42.9,100.1,0.429,24.6,34.7,0.71,,,61.9,20.7,,,,26.8,110.5,1963,False,False
Chicago Zephyrs,80.0,,42.1,93.1,0.453,,,,42.1,93.1,0.453,25.7,36.8,0.697,,,64.3,22.2,,,,25.8,109.9,1963,False,False
St. Louis Hawks,80.0,,41.9,97.3,0.431,,,,41.9,97.3,0.431,25.7,35.3,0.729,,,63.7,23.8,,,,26.0,109.6,1963,True,False
League Average,80.0,,44.6,101.2,0.441,,,,44.6,101.2,0.441,26.1,35.9,0.727,,,66.7,22.7,,,,26.0,115.3,1963,False,False
Cincinnati Royals,12.0,242.1,43.9,98.3,0.447,,,,43.9,98.3,0.447,33.3,43.3,0.769,,,67.9,23.0,,,,28.7,121.2,1963,,True
Syracuse Nationals,5.0,245.0,45.2,101.8,0.444,,,,45.2,101.8,0.444,30.4,38.4,0.792,,,59.2,17.8,,,,31.0,120.8,1963,,True
Boston Celtics,13.0,240.0,45.3,107.5,0.422,,,,45.3,107.5,0.422,27.5,36.9,0.744,,,68.7,24.3,,,,29.5,118.1,1963,,True
Los Angeles Lakers,13.0,240.0,41.2,91.6,0.45,,,,41.2,91.6,0.45,30.5,39.8,0.768,,,64.1,18.4,,,,26.0,113.0,1963,,True
St. Louis Hawks,11.0,240.0,42.4,98.3,0.431,,,,42.4,98.3,0.431,25.8,34.6,0.745,,,62.9,23.9,,,,29.5,110.5,1963,,True
Detroit Pistons,4.0,240.0,38.5,98.0,0.393,,,,38.5,98.0,0.393,26.5,38.0,0.697,,,67.3,18.5,,,,28.5,103.5,1963,,True
League Average,10.0,240.9,43.1,99.1,0.434,,,,43.1,99.1,0.434,29.2,38.7,0.756,,,65.5,21.7,,,,28.6,115.4,1963,,True
Cincinnati Royals,80.0,,44.0,97.0,0.453,,,,44.0,97.0,0.453,26.8,35.4,0.759,,,67.5,24.0,,,,26.7,114.7,1964,True,False
Boston Celtics,80.0,,45.2,109.6,0.413,,,,45.2,109.6,0.413,22.6,31.1,0.725,,,71.7,22.0,,,,26.6,113.0,1964,True,False
New York Knicks,80.0,,43.9,98.6,0.445,,,,43.9,98.6,0.445,24.4,35.7,0.684,,,63.3,19.5,,,,27.8,112.2,1964,False,False
Philadelphia 76ers,80.0,,42.4,101.5,0.418,,,,42.4,101.5,0.418,27.3,35.6,0.766,,,64.2,20.5,,,,28.1,112.2,1964,True,False
Baltimore Bullets,80.0,,43.2,98.3,0.44,,,,43.2,98.3,0.44,25.5,37.0,0.688,,,68.3,17.8,,,,25.9,111.9,1964,False,False
St. Louis Hawks,80.0,,41.8,97.2,0.43,,,,41.8,97.2,0.43,26.4,34.9,0.757,,,62.0,23.8,,,,28.3,110.0,1964,True,False
Los Angeles Lakers,80.0,,40.9,93.0,0.44,,,,40.9,93.0,0.44,27.9,36.4,0.766,,,62.8,21.0,,,,25.0,109.7,1964,True,False
Detroit Pistons,80.0,,41.8,99.3,0.421,,,,41.8,99.3,0.421,24.1,33.6,0.718,,,64.3,20.4,,,,27.9,107.8,1964,False,False
San Francisco Warriors,80.0,,42.6,97.2,0.438,,,,42.6,97.2,0.438,22.5,35.3,0.638,,,68.7,23.7,,,,24.7,107.7,1964,True,False
League Average,80.0,,42.9,99.1,0.433,,,,42.9,99.1,0.433,25.3,35.0,0.722,,,65.9,21.4,,,,26.8,111.0,1964,False,False
Philadelphia 76ers,5.0,240.0,40.8,99.0,0.412,,,,40.8,99.0,0.412,31.6,40.6,0.778,,,57.8,21.8,,,,26.8,113.2,1964,,True
San Francisco Warriors,12.0,240.0,41.9,98.3,0.427,,,,41.9,98.3,0.427,22.7,37.9,0.598,,,61.3,20.3,,,,26.7,106.5,1964,,True
St. Louis Hawks,12.0,240.0,40.0,91.5,0.437,,,,40.0,91.5,0.437,26.1,34.9,0.747,,,59.1,23.4,,,,27.8,106.1,1964,,True
Cincinnati Royals,10.0,240.0,39.9,95.4,0.418,,,,39.9,95.4,0.418,26.0,33.8,0.769,,,68.4,22.7,,,,28.3,105.8,1964,,True
Boston Celtics,10.0,240.0,40.0,101.8,0.393,,,,40.0,101.8,0.393,23.4,33.4,0.701,,,73.6,22.1,,,,27.5,103.4,1964,,True
Los Angeles Lakers,5.0,240.0,36.2,83.4,0.434,,,,36.2,83.4,0.434,28.8,36.0,0.8,,,54.0,19.4,,,,25.4,101.2,1964,,True
League Average,9.0,240.0,40.1,95.6,0.42,,,,40.1,95.6,0.42,25.6,35.7,0.716,,,63.4,21.8,,,,27.3,105.8,1964,,True
Cincinnati Royals,80.0,241.6,43.5,97.5,0.447,,,,43.5,97.5,0.447,27.1,35.8,0.757,,,67.3,23.0,,,,24.9,114.2,1965,True,False
Baltimore Bullets,80.0,242.2,42.8,96.7,0.442,,,,42.8,96.7,0.442,28.1,39.3,0.714,,,66.2,21.0,,,,26.5,113.6,1965,True,False
Boston Celtics,80.0,240.9,44.6,107.6,0.414,,,,44.6,107.6,0.414,23.6,32.3,0.731,,,71.9,22.2,,,,25.8,112.8,1965,True,False
Philadelphia 76ers,80.0,240.9,42.4,100.4,0.422,,,,42.4,100.4,0.422,27.8,37.6,0.738,,,65.6,21.2,,,,26.2,112.5,1965,True,False
Los Angeles Lakers,80.0,241.9,41.7,95.4,0.437,,,,41.7,95.4,0.437,28.5,37.3,0.763,,,65.4,20.0,,,,25.0,111.9,1965,True,False
St. Louis Hawks,80.0,240.3,40.9,96.4,0.424,,,,40.9,96.4,0.424,27.1,36.8,0.736,,,65.1,21.1,,,,25.9,108.8,1965,True,False
Detroit Pistons,80.0,241.6,43.3,103.7,0.418,,,,43.3,103.7,0.418,21.8,31.7,0.689,,,67.4,20.1,,,,25.7,108.5,1965,False,False
New York Knicks,80.0,243.8,41.7,97.9,0.426,,,,41.7,97.9,0.426,23.9,33.6,0.713,,,65.1,19.4,,,,28.5,107.4,1965,False,False
San Francisco Warriors,80.0,241.9,41.5,103.1,0.403,,,,41.5,103.1,0.403,22.7,35.6,0.64,,,71.4,20.7,,,,25.0,105.8,1965,False,False
League Average,80.0,241.7,42.5,99.8,0.426,,,,42.5,99.8,0.426,25.6,35.6,0.721,,,67.3,21.0,,,,25.9,110.6,1965,False,False
Boston Celtics,12.0,242.1,46.3,111.6,0.414,,,,46.3,111.6,0.414,24.3,32.6,0.744,,,72.3,23.6,,,,28.7,116.8,1965,,True
Baltimore Bullets,10.0,240.0,43.2,97.8,0.442,,,,43.2,97.8,0.442,28.2,38.7,0.729,,,64.8,19.5,,,,27.2,114.6,1965,,True
Los Angeles Lakers,11.0,240.0,42.0,95.5,0.44,,,,42.0,95.5,0.44,30.3,38.7,0.782,,,65.8,21.7,,,,27.7,114.3,1965,,True
Philadelphia 76ers,11.0,244.5,42.1,96.0,0.438,,,,42.1,96.0,0.438,27.6,39.4,0.702,,,64.3,21.1,,,,26.2,111.8,1965,,True
Cincinnati Royals,4.0,246.3,42.3,97.8,0.432,,,,42.3,97.8,0.432,26.5,30.5,0.869,,,63.8,24.8,,,,26.5,111.0,1965,,True
St. Louis Hawks,4.0,240.0,41.3,104.5,0.395,,,,41.3,104.5,0.395,26.5,35.5,0.746,,,66.3,18.8,,,,28.5,109.0,1965,,True
League Average,9.0,241.9,43.2,100.6,0.429,,,,43.2,100.6,0.429,27.3,36.6,0.748,,,66.7,21.6,,,,27.5,113.7,1965,,True
Los Angeles Lakers,80.0,240.6,45.0,101.4,0.444,,,,45.0,101.4,0.444,29.5,38.2,0.773,,,66.7,24.2,,,,25.4,119.5,1966,True,False
Baltimore Bullets,80.0,240.6,45.0,102.6,0.438,,,,45.0,102.6,0.438,28.3,39.8,0.712,,,69.3,23.6,,,,27.5,118.3,1966,True,False
Cincinnati Royals,80.0,240.9,45.1,101.5,0.444,,,,45.1,101.5,0.444,27.6,36.3,0.758,,,69.5,22.7,,,,25.4,117.8,1966,True,False
Philadelphia 76ers,80.0,240.6,45.6,102.4,0.446,,,,45.6,102.4,0.446,26.1,39.3,0.664,,,70.7,23.8,,,,26.2,117.3,1966,True,False
New York Knicks,80.0,240.9,44.5,98.9,0.45,,,,44.5,98.9,0.45,27.7,38.5,0.72,,,64.0,23.7,,,,27.8,116.7,1966,False,False
San Francisco Warriors,80.0,240.3,44.5,106.4,0.418,,,,44.5,106.4,0.418,26.6,36.0,0.739,,,71.6,23.4,,,,25.9,115.5,1966,False,False
Boston Celtics,80.0,240.3,43.6,104.6,0.417,,,,43.6,104.6,0.417,25.5,34.5,0.739,,,69.9,22.4,,,,25.2,112.7,1966,True,False
St. Louis Hawks,80.0,240.0,42.2,98.0,0.431,,,,42.2,98.0,0.431,26.9,35.9,0.751,,,64.6,22.3,,,,27.2,111.4,1966,True,False
