Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,Year,Playoffs,Playoffs_S,W/L%
Charlotte Bobcats,24.4,21.0,61.0,17.0,65.0,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,Time Warner Cable Arena,628293.0,15324.0,2013,False,False,
League Average,26.7,,,41.0,41.0,0.0,0.0,0.0,105.9,105.9,,92.0,0.27,0.243,0.535,0.496,13.7,26.5,0.204,0.496,13.7,73.5,0.204,,710653.0,17346.0,2013,False,False,
San Antonio Spurs,28.7,15.0,6.0,15.0,6.0,,,,108.7,101.1,7.6,89.6,0.261,0.253,0.547,0.511,12.3,23.3,0.199,0.475,12.8,73.8,0.162,,,,2013,,True,0.714
Miami Heat,30.1,16.0,7.0,17.0,6.0,,,,110.2,102.9,7.3,87.3,0.303,0.264,0.559,0.518,13.1,25.2,0.232,0.48,15.6,71.1,0.237,,,,2013,,True,0.696
New York Knicks,29.6,6.0,6.0,7.0,5.0,,,,101.4,98.3,3.1,86.6,0.222,0.288,0.498,0.46,11.5,24.2,0.174,0.47,17.1,76.5,0.276,,,,2013,,True,0.5
Brooklyn Nets,28.5,3.0,4.0,4.0,3.0,,,,107.8,105.6,2.2,88.3,0.304,0.232,0.524,0.479,10.9,27.4,0.23,0.497,12.4,74.0,0.171,,,,2013,,True,0.429
Oklahoma City Thunder,26.9,5.0,6.0,6.0,5.0,,,,105.1,103.7,1.4,92.8,0.295,0.303,0.534,0.479,12.9,23.0,0.247,0.468,12.5,76.0,0.254,,,,2013,,True,0.455
Memphis Grizzlies,27.9,8.0,7.0,8.0,7.0,,,,105.0,104.3,0.7,88.4,0.357,0.182,0.502,0.447,10.2,27.2,0.267,0.493,13.8,77.5,0.219,,,,2013,,True,0.533
Golden State Warriors,24.6,6.0,6.0,6.0,6.0,,,,106.4,106.2,0.2,94.0,0.258,0.265,0.546,0.513,14.9,27.5,0.19,0.483,11.9,75.0,0.234,,,,2013,,True,0.5
Indiana Pacers,25.6,11.0,8.0,10.0,9.0,,,,104.5,104.4,0.1,87.3,0.384,0.258,0.528,0.475,15.9,32.4,0.284,0.473,11.4,76.8,0.222,,,,2013,,True,0.579
Denver Nuggets,26.4,2.0,4.0,2.0,4.0,,,,105.9,110.2,-4.3,97.2,0.35,0.265,0.526,0.479,12.9,26.3,0.255,0.554,17.0,72.9,0.209,,,,2013,,True,0.333
Atlanta Hawks,27.3,2.0,4.0,2.0,4.0,,,,98.0,103.6,-5.6,91.2,0.338,0.241,0.503,0.462,12.0,18.6,0.231,0.455,14.4,70.0,0.284,,,,2013,,True,0.333
Boston Celtics,29.7,2.0,4.0,2.0,4.0,,,,92.9,98.9,-6.0,87.1,0.312,0.3,0.525,0.463,18.1,14.0,0.268,0.462,12.7,76.3,0.17,,,,2013,,True,0.333
Houston Rockets,25.4,2.0,4.0,2.0,4.0,,,,105.3,111.4,-6.1,95.0,0.342,0.416,0.537,0.496,14.5,24.8,0.243,0.511,12.0,77.2,0.258,,,,2013,,True,0.333
Los Angeles Clippers,29.1,2.0,4.0,2.0,4.0,,,,107.5,113.8,-6.3,88.0,0.314,0.254,0.552,0.506,13.5,24.3,0.246,0.486,10.2,73.3,0.344,,,,2013,,True,0.333
Chicago Bulls,27.5,5.0,7.0,3.0,9.0,,,,102.5,110.0,-7.5,87.4,0.287,0.213,0.511,0.472,13.7,28.4,0.206,0.501,11.9,74.5,0.255,,,,2013,,True,0.417
Milwaukee Bucks,26.1,0.0,4.0,0.0,4.0,,,,94.0,110.3,-16.3,90.7,0.264,0.3,0.498,0.472,15.9,21.1,0.166,0.544,16.5,70.7,0.255,,,,2013,,True,0.0
Los Angeles Lakers,29.2,0.0,4.0,0.0,4.0,,,,92.5,112.9,-20.4,92.1,0.237,0.237,0.495,0.474,16.1,20.2,0.144,0.527,9.8,78.3,0.185,,,,2013,,True,0.0
League Average,27.8,,,5.0,5.0,,,,104.8,104.8,,89.5,0.303,0.259,0.529,0.486,13.3,25.4,0.227,0.486,13.3,74.6,0.227,,,,2013,,True,
San Antonio Spurs,28.9,62.0,20.0,61.0,21.0,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,AT&T Center,755031.0,18415.0,2014,True,False,
Los Angeles Clippers,28.1,57.0,25.0,59.0,23.0,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692.0,19212.0,2014,True,False,
Oklahoma City Thunder,26.2,59.0,23.0,58.0,24.0,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14.0,26.5,0.244,0.488,13.9,75.6,0.221,Chesapeake Energy Arena,746323.0,18203.0,2014,True,False,
Miami Heat,30.6,54.0,28.0,54.0,28.0,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73.0,0.212,AmericanAirlines Arena,811036.0,19781.0,2014,True,False,
Golden State Warriors,26.3,51.0,31.0,54.0,28.0,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,Oracle Arena,803436.0,19596.0,2014,True,False,
Indiana Pacers,27.2,56.0,26.0,54.0,28.0,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,Bankers Life Fieldhouse,717542.0,17501.0,2014,True,False,
Houston Rockets,25.4,54.0,28.0,53.0,29.0,4.56,0.5,5.06,111.0,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,Toyota Center,743082.0,18124.0,2014,True,False,
Portland Trail Blazers,25.8,54.0,28.0,52.0,30.0,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194,Moda Center,809612.0,19747.0,2014,True,False,
Toronto Raptors,25.6,48.0,34.0,50.0,32.0,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,Air Canada Centre,748339.0,18252.0,2014,True,False,
Phoenix Suns,26.2,48.0,34.0,48.0,34.0,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237,US Airways Center,650739.0,15872.0,2014,False,False,
Minnesota Timberwolves,26.3,40.0,42.0,48.0,34.0,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,Target Center,597157.0,14565.0,2014,False,False,
Dallas Mavericks,30.6,49.0,33.0,48.0,34.0,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,American Airlines Center,817982.0,19951.0,2014,True,False,
Chicago Bulls,28.6,48.0,34.0,47.0,35.0,1.85,-0.66,1.2,102.5,100.5,2.0,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,United Center,890370.0,21716.0,2014,True,False,
Memphis Grizzlies,28.5,50.0,32.0,46.0,36.0,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,FedEx Forum,685458.0,16718.0,2014,True,False,
Washington Wizards,26.3,44.0,38.0,45.0,37.0,1.27,-0.79,0.48,106.0,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15.0,75.7,0.22,Verizon Center,698068.0,17026.0,2014,True,False,
Charlotte Bobcats,25.5,43.0,39.0,40.0,42.0,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,Time Warner Cable Arena,636268.0,15519.0,2014,True,False,
Atlanta Hawks,27.5,38.0,44.0,40.0,42.0,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,Philips Arena,587927.0,14231.0,2014,True,False,
New York Knicks,28.3,37.0,45.0,39.0,43.0,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14.0,74.3,0.245,Madison Square Garden (IV),812292.0,19812.0,2014,False,False,
Brooklyn Nets,30.0,44.0,38.0,38.0,44.0,-1.0,-0.58,-1.58,106.7,107.7,-1.0,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,Barclays Center,707331.0,17252.0,2014,True,False,
Denver Nuggets,26.0,36.0,46.0,35.0,47.0,-2.15,0.75,-1.4,106.0,108.2,-2.2,98.1,0.306,0.278,0.536,0.497,14.0,27.5,0.222,0.5,12.8,74.5,0.233,Pepsi Center,692898.0,16900.0,2014,False,False,
New Orleans Pelicans,24.3,34.0,48.0,33.0,49.0,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,Smoothie King Center,672029.0,16391.0,2014,False,False,
Sacramento Kings,24.9,28.0,54.0,33.0,49.0,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,667949.0,16291.0,2014,False,False,
Cleveland Cavaliers,24.9,33.0,49.0,32.0,50.0,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,Quicken Loans Arena,710522.0,17330.0,2014,False,False,
Detroit Pistons,24.7,29.0,53.0,31.0,51.0,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,The Palace of Auburn Hills,616005.0,15025.0,2014,False,False,
Boston Celtics,25.4,25.0,57.0,28.0,54.0,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,TD Garden,742400.0,18107.0,2014,False,False,
Orlando Magic,24.6,23.0,59.0,26.0,56.0,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13.0,75.5,0.211,Amway Center,666046.0,16245.0,2014,False,False,
Los Angeles Lakers,26.8,27.0,55.0,25.0,57.0,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192,STAPLES Center,771974.0,18829.0,2014,False,False,
Utah Jazz,24.5,25.0,57.0,22.0,60.0,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,EnergySolutions Arena,745203.0,18176.0,2014,False,False,
Milwaukee Bucks,24.7,15.0,67.0,20.0,62.0,-8.18,-0.23,-8.41,103.0,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,BMO Harris Bradley Center,552067.0,13465.0,2014,False,False,
Philadelphia 76ers,23.4,19.0,63.0,16.0,66.0,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,Wells Fargo Center,568632.0,13869.0,2014,False,False,
League Average,26.6,,,41.0,41.0,0.0,0.0,0.0,106.7,106.7,,93.9,0.284,0.259,0.541,0.501,13.6,25.5,0.215,0.501,13.6,74.5,0.215,,713714.0,17407.0,2014,False,False,
San Antonio Spurs,29.6,16.0,7.0,18.0,5.0,,,,114.2,104.2,10.0,92.7,0.291,0.267,0.583,0.546,12.1,23.6,0.223,0.492,13.4,77.2,0.197,,,,2014,,True,0.696
Los Angeles Clippers,28.2,6.0,7.0,7.0,6.0,,,,113.3,111.3,2.0,96.0,0.334,0.302,0.555,0.515,11.4,26.2,0.244,0.521,14.9,70.4,0.272,,,,2014,,True,0.462
Miami Heat,31.1,13.0,7.0,11.0,9.0,,,,112.8,110.8,2.0,86.2,0.305,0.326,0.594,0.555,12.9,17.1,0.238,0.539,14.2,75.3,0.22,,,,2014,,True,0.65
Washington Wizards,26.8,6.0,5.0,6.0,5.0,,,,102.0,100.9,1.1,87.8,0.285,0.211,0.504,0.468,12.5,27.9,0.198,0.471,12.7,79.7,0.227,,,,2014,,True,0.545
Houston Rockets,25.2,2.0,4.0,3.0,3.0,,,,114.8,114.4,0.4,92.7,0.325,0.28,0.534,0.49,11.7,35.3,0.242,0.507,10.6,72.8,0.258,,,,2014,,True,0.333
Atlanta Hawks,27.9,3.0,4.0,3.0,4.0,,,,101.9,103.0,-1.1,90.7,0.316,0.417,0.515,0.456,13.1,20.4,0.261,0.5,14.6,76.2,0.22,,,,2014,,True,0.429
Indiana Pacers,27.1,10.0,9.0,9.0,10.0,,,,103.7,104.8,-1.1,88.3,0.314,0.258,0.54,0.5,13.8,21.1,0.228,0.493,13.6,77.0,0.218,,,,2014,,True,0.526
Oklahoma City Thunder,26.6,10.0,9.0,9.0,10.0,,,,108.1,109.2,-1.1,92.3,0.327,0.287,0.551,0.496,14.0,27.1,0.268,0.485,10.5,74.2,0.212,,,,2014,,True,0.526
Brooklyn Nets,30.7,5.0,7.0,5.0,7.0,,,,110.5,112.0,-1.5,86.4,0.33,0.302,0.555,0.514,12.5,25.1,0.243,0.516,13.3,77.0,0.306,,,,2014,,True,0.417
Toronto Raptors,25.2,3.0,4.0,3.0,4.0,,,,108.2,110.0,-1.8,88.8,0.391,0.283,0.553,0.486,15.0,26.8,0.326,0.506,11.8,77.0,0.291,,,,2014,,True,0.429
Dallas Mavericks,31.3,3.0,4.0,3.0,4.0,,,,110.0,112.1,-2.1,92.0,0.217,0.259,0.532,0.5,10.7,26.4,0.166,0.542,13.4,76.6,0.245,,,,2014,,True,0.429
Golden State Warriors,26.2,3.0,4.0,3.0,4.0,,,,110.2,114.8,-4.6,96.6,0.335,0.316,0.558,0.518,15.3,30.8,0.244,0.529,12.9,72.1,0.29,,,,2014,,True,0.429
Chicago Bulls,28.6,1.0,4.0,2.0,3.0,,,,103.0,108.3,-5.3,85.6,0.29,0.244,0.508,0.463,13.0,27.9,0.219,0.479,10.2,72.2,0.225,,,,2014,,True,0.2
Memphis Grizzlies,29.7,3.0,4.0,2.0,5.0,,,,102.8,108.5,-5.7,88.8,0.293,0.173,0.486,0.442,10.1,27.0,0.214,0.483,14.1,69.0,0.263,,,,2014,,True,0.429
Portland Trail Blazers,25.8,5.0,6.0,3.0,8.0,,,,107.2,113.6,-6.4,94.6,0.281,0.26,0.529,0.482,12.3,26.1,0.224,0.508,10.4,70.6,0.208,,,,2014,,True,0.455
Charlotte Hornets,25.5,0.0,4.0,1.0,3.0,,,,101.5,112.3,-10.8,90.6,0.312,0.282,0.537,0.5,14.9,20.8,0.223,0.539,10.7,85.7,0.26,,,,2014,,True,0.0
League Average,28.2,,,6.0,6.0,,,,108.7,108.7,,90.6,0.308,0.279,0.548,0.505,12.8,24.9,0.235,0.505,12.8,75.1,0.235,,,,2014,,True,
Golden State Warriors,26.6,67.0,15.0,65.0,17.0,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,803436.0,19596.0,2015,True,False,
Los Angeles Clippers,28.8,56.0,26.0,58.0,24.0,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892.0,19168.0,2015,True,False,
San Antonio Spurs,29.8,55.0,27.0,58.0,24.0,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,AT&T Center,762855.0,18606.0,2015,True,False,
Atlanta Hawks,27.8,60.0,22.0,56.0,26.0,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,713909.0,17412.0,2015,True,False,
Cleveland Cavaliers,26.9,53.0,29.0,53.0,29.0,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,Quicken Loans Arena,843042.0,20562.0,2015,True,False,
Portland Trail Blazers,27.0,51.0,31.0,53.0,29.0,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,798368.0,19472.0,2015,True,False,
Houston Rockets,27.6,56.0,26.0,50.0,32.0,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208,Toyota Center,747412.0,18230.0,2015,True,False,
Memphis Grizzlies,29.6,55.0,27.0,50.0,32.0,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,FedEx Forum,710502.0,17329.0,2015,True,False,
Toronto Raptors,26.1,49.0,33.0,49.0,33.0,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12.0,25.6,0.232,0.506,13.4,73.3,0.208,Air Canada Centre,809824.0,19752.0,2015,True,False,
Chicago Bulls,28.8,50.0,32.0,50.0,32.0,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182,United Center,886612.0,21625.0,2015,True,False,
Dallas Mavericks,29.9,50.0,32.0,49.0,33.0,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,American Airlines Center,827702.0,20188.0,2015,True,False,
Oklahoma City Thunder,25.4,45.0,37.0,47.0,35.0,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,Chesapeake Energy Arena,746323.0,18203.0,2015,False,False,
New Orleans Pelicans,25.3,45.0,37.0,43.0,39.0,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,683757.0,16677.0,2015,True,False,
Washington Wizards,28.6,46.0,36.0,43.0,39.0,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21,Verizon Center,747796.0,18239.0,2015,True,False,
Milwaukee Bucks,24.6,41.0,41.0,42.0,40.0,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,BMO Harris Bradley Center,593910.0,14813.0,2015,True,False,
Indiana Pacers,28.3,38.0,44.0,42.0,40.0,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217,Bankers Life Fieldhouse,691434.0,16864.0,2015,False,False,
Utah Jazz,23.4,38.0,44.0,42.0,40.0,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,EnergySolutions Arena,772059.0,18831.0,2015,False,False,
Boston Celtics,25.0,40.0,42.0,41.0,41.0,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208,TD Garden,721350.0,17594.0,2015,True,False,
Phoenix Suns,25.7,39.0,43.0,38.0,44.0,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14.0,73.5,0.221,US Airways Center,693862.0,16923.0,2015,False,False,
Detroit Pistons,25.9,32.0,50.0,38.0,44.0,-1.0,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192,The Palace of Auburn Hills,625917.0,15266.0,2015,False,False,
Miami Heat,28.5,37.0,45.0,33.0,49.0,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,AmericanAirlines Arena,808223.0,19713.0,2015,False,False,
Brooklyn Nets,28.6,38.0,44.0,33.0,49.0,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,Barclays Center,698529.0,17037.0,2015,True,False,
Charlotte Hornets,26.0,33.0,49.0,32.0,50.0,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188,Time Warner Cable Arena,704886.0,17192.0,2015,False,False,
Denver Nuggets,26.4,30.0,52.0,31.0,51.0,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239,Pepsi Center,602707.0,14700.0,2015,False,False,
Sacramento Kings,26.0,29.0,53.0,31.0,51.0,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,680049.0,16587.0,2015,False,False,
Orlando Magic,24.3,25.0,57.0,25.0,57.0,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21,Amway Center,688194.0,16785.0,2015,False,False,
Los Angeles Lakers,27.0,21.0,61.0,23.0,59.0,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,STAPLES Center,768244.0,18738.0,2015,False,False,
Minnesota Timberwolves,24.4,16.0,66.0,19.0,63.0,-8.79,0.79,-8.0,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,595652.0,14416.0,2015,False,False,
Philadelphia 76ers,23.2,18.0,64.0,18.0,64.0,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,0.459,16.0,25.5,0.195,0.497,15.2,73.0,0.225,Wells Fargo Center,571572.0,13941.0,2015,False,False,
New York Knicks,26.9,17.0,65.0,17.0,65.0,-9.32,-0.18,-9.5,99.9,110.0,-10.1,91.2,0.234,0.24,0.508,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.234,Madison Square Garden (IV),812292.0,19812.0,2015,False,False,
League Average,26.8,,,41.0,41.0,0.0,0.0,0.0,105.6,105.6,,93.9,0.273,0.268,0.534,0.496,13.3,25.1,0.205,0.496,13.3,74.9,0.205,,729877.0,17814.0,2015,False,False,
Golden State Warriors,26.4,16.0,5.0,16.0,5.0,,,,108.7,100.5,8.2,93.7,0.263,0.362,0.55,0.521,13.5,26.2,0.184,0.458,13.1,75.3,0.228,,,,2015,,True,0.762
Cleveland Cavaliers,26.6,14.0,6.0,13.0,7.0,,,,107.4,103.1,4.3,90.7,0.325,0.347,0.524,0.479,12.0,28.1,0.24,0.467,11.1,77.5,0.209,,,,2015,,True,0.7
Washington Wizards,27.5,6.0,4.0,6.0,4.0,,,,105.8,101.7,4.1,94.6,0.28,0.276,0.533,0.497,13.3,26.8,0.202,0.47,12.2,77.2,0.177,,,,2015,,True,0.6
Chicago Bulls,28.7,6.0,6.0,7.0,5.0,,,,104.4,100.7,3.7,90.4,0.257,0.294,0.515,0.474,13.1,26.8,0.199,0.452,11.8,74.3,0.198,,,,2015,,True,0.5
Los Angeles Clippers,28.8,7.0,7.0,8.0,6.0,,,,108.4,107.1,1.3,98.7,0.361,0.3,0.548,0.515,11.8,21.3,0.241,0.505,12.5,75.0,0.25,,,,2015,,True,0.5
San Antonio Spurs,30.3,3.0,4.0,4.0,3.0,,,,107.8,107.3,0.5,94.5,0.298,0.307,0.536,0.505,11.2,24.8,0.203,0.509,11.5,78.6,0.224,,,,2015,,True,0.429
Atlanta Hawks,27.7,8.0,8.0,8.0,8.0,,,,103.4,103.6,-0.2,93.5,0.227,0.335,0.521,0.484,11.9,21.6,0.178,0.486,12.9,74.7,0.184,,,,2015,,True,0.5
Memphis Grizzlies,30.3,6.0,5.0,5.0,6.0,,,,103.0,104.4,-1.4,91.9,0.27,0.166,0.503,0.451,10.5,23.7,0.225,0.501,14.1,77.2,0.192,,,,2015,,True,0.545
Houston Rockets,28.8,9.0,8.0,7.0,10.0,,,,106.6,109.0,-2.4,101.5,0.44,0.33,0.544,0.505,13.5,23.8,0.288,0.514,12.5,74.4,0.21,,,,2015,,True,0.529
Dallas Mavericks,30.4,1.0,4.0,2.0,3.0,,,,107.9,112.0,-4.1,101.9,0.274,0.265,0.534,0.493,12.1,28.1,0.209,0.52,12.4,75.1,0.291,,,,2015,,True,0.2
Brooklyn Nets,28.6,2.0,4.0,2.0,4.0,,,,100.8,106.5,-5.7,94.0,0.251,0.289,0.522,0.486,13.4,21.0,0.186,0.505,12.3,77.8,0.161,,,,2015,,True,0.333
Portland Trail Blazers,25.9,1.0,4.0,1.0,4.0,,,,101.9,109.3,-7.4,92.0,0.258,0.313,0.504,0.455,11.1,22.2,0.213,0.465,7.9,78.1,0.254,,,,2015,,True,0.2
New Orleans Pelicans,25.1,0.0,4.0,1.0,3.0,,,,106.8,115.2,-8.4,92.0,0.264,0.252,0.536,0.491,12.6,24.9,0.214,0.516,11.0,69.1,0.211,,,,2015,,True,0.0
Boston Celtics,24.6,0.0,4.0,1.0,3.0,,,,101.5,111.5,-10.0,93.3,0.308,0.26,0.504,0.453,12.6,22.2,0.239,0.498,11.8,71.9,0.303,,,,2015,,True,0.0
Milwaukee Bucks,24.8,2.0,4.0,1.0,5.0,,,,91.8,104.6,-12.8,93.1,0.236,0.206,0.455,0.419,11.9,23.9,0.166,0.504,15.7,73.5,0.2,,,,2015,,True,0.333
Toronto Raptors,25.9,0.0,4.0,1.0,3.0,,,,99.3,113.7,-14.4,94.5,0.241,0.283,0.493,0.459,10.9,19.0,0.173,0.547,13.3,73.0,0.25,,,,2015,,True,0.0
League Average,27.7,,,5.0,5.0,,,,105.3,105.3,,94.4,0.296,0.302,0.526,0.487,12.4,24.5,0.214,0.487,12.4,75.5,0.214,,,,2015,,True,
San Antonio Spurs,30.3,67.0,15.0,67.0,15.0,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23.0,0.197,0.477,14.1,79.1,0.182,AT&T Center,756445.0,18450.0,2016,True,False,
