team_id,team,g,mp,fg,fga,fg_percentage,threeP,threePA,threeP_percentage,twoP,twoPA,twoP_percentage,ft,fta,ft_percentage,orb,drb,trb,ast,stl,blk,tov,pf,pts,year,playoffs,playoffs_s
1610612758,Rochester Royals,14,-99,29.0,73.9,0.392,-99.0,-99.0,-99.0,29.0,73.9,0.392,25.9,34.6,0.748,-99.0,-99.0,53.8,23.5,-99.0,-99.0,-99.0,24.1,83.9,1951,Y,Y
1610612744,Philadelphia Warriors,2,-99,27.0,79.0,0.342,-99.0,-99.0,-99.0,27.0,79.0,0.342,29.5,38.5,0.766,-99.0,-99.0,49.5,21.5,-99.0,-99.0,-99.0,28.0,83.5,1951,Y,Y
1610612752,New York Knicks,14,-99,29.3,77.5,0.378,-99.0,-99.0,-99.0,29.3,77.5,0.378,23.4,34.0,0.687,-99.0,-99.0,53.1,22.1,-99.0,-99.0,-99.0,30.3,81.9,1951,Y,Y
1610612765,Fort Wayne Pistons,3,-99,32.3,97.0,0.333,-99.0,-99.0,-99.0,32.3,97.0,0.333,16.0,23.0,0.696,-99.0,-99.0,50.0,22.0,-99.0,-99.0,-99.0,34.0,80.7,1951,Y,Y
1610612747,Minneapolis Lakers,7,-99,28.7,76.6,0.375,-99.0,-99.0,-99.0,28.7,76.6,0.375,21.9,29.6,0.739,-99.0,-99.0,46.4,17.3,-99.0,-99.0,-99.0,27.7,79.3,1951,Y,Y
1610612738,Boston Celtics,2,-99,26.5,82.0,0.323,-99.0,-99.0,-99.0,26.5,82.0,0.323,20.5,33.0,0.621,-99.0,-99.0,44.5,21.0,-99.0,-99.0,-99.0,31.0,73.5,1951,Y,Y
1610612738,Boston Celtics,66,-99,32.3,83.5,0.387,-99.0,-99.0,-99.0,32.3,83.5,0.387,26.7,36.5,0.734,-99.0,-99.0,56.8,24.3,-99.0,-99.0,-99.0,26.3,91.3,1952,Y,N
1610612755,Syracuse Nationals,66,-99,28.7,78.9,0.364,-99.0,-99.0,-99.0,28.7,78.9,0.364,29.3,39.2,0.747,-99.0,-99.0,54.6,20.8,-99.0,-99.0,-99.0,29.8,86.7,1952,Y,N
1610612744,Philadelphia Warriors,66,-99,30.9,81.3,0.38,-99.0,-99.0,-99.0,30.9,81.3,0.38,24.8,32.5,0.762,-99.0,-99.0,55.3,24.1,-99.0,-99.0,-99.0,27.4,86.5,1952,Y,N
1610612758,Rochester Royals,66,-99,30.5,78.4,0.389,-99.0,-99.0,-99.0,30.5,78.4,0.389,25.2,32.6,0.773,-99.0,-99.0,51.1,24.1,-99.0,-99.0,-99.0,27.3,86.2,1952,Y,N
1610612747,Minneapolis Lakers,66,-99,31.9,86.9,0.367,-99.0,-99.0,-99.0,31.9,86.9,0.367,21.8,29.1,0.748,-99.0,-99.0,53.7,21.0,-99.0,-99.0,-99.0,26.7,85.6,1952,Y,N
1610612752,New York Knicks,66,-99,30.6,80.0,0.383,-99.0,-99.0,-99.0,30.6,80.0,0.383,23.7,33.1,0.716,-99.0,-99.0,58.1,23.7,-99.0,-99.0,-99.0,26.8,85.0,1952,Y,N
1610612764,Baltimore Bullets,66,-99,28.5,83.3,0.342,-99.0,-99.0,-99.0,28.5,83.3,0.342,24.5,33.5,0.73,-99.0,-99.0,57.3,21.5,-99.0,-99.0,-99.0,26.0,81.5,1952,N,N
1610612765,Fort Wayne Pistons,66,-99,26.8,76.0,0.353,-99.0,-99.0,-99.0,26.8,76.0,0.353,24.4,33.2,0.733,-99.0,-99.0,54.8,21.3,-99.0,-99.0,-99.0,26.5,78.0,1952,Y,N
1610612737,Milwaukee Hawks,66,-99,25.4,76.6,0.331,-99.0,-99.0,-99.0,25.4,76.6,0.331,22.5,33.0,0.682,-99.0,-99.0,53.6,18.6,-99.0,-99.0,-99.0,28.0,73.2,1952,N,N
1610612738,Boston Celtics,3,256,31.7,75.7,0.419,-99.0,-99.0,-99.0,31.7,75.7,0.419,33.0,41.7,0.792,-99.0,-99.0,52.7,25.0,-99.0,-99.0,-99.0,40.0,96.3,1952,Y,Y
1610612755,Syracuse Nationals,7,240,28.7,74.4,0.386,-99.0,-99.0,-99.0,28.7,74.4,0.386,35.4,48.7,0.727,-99.0,-99.0,53.9,18.3,-99.0,-99.0,-99.0,36.4,92.9,1952,Y,Y
1610612752,New York Knicks,14,247,28.1,71.5,0.393,-99.0,-99.0,-99.0,28.1,71.5,0.393,30.8,41.5,0.742,-99.0,-99.0,53.1,18.3,-99.0,-99.0,-99.0,30.9,86.9,1952,Y,Y
1610612744,Philadelphia Warriors,3,240,27.3,69.3,0.394,-99.0,-99.0,-99.0,27.3,69.3,0.394,30.7,39.0,0.786,-99.0,-99.0,50.0,18.7,-99.0,-99.0,-99.0,37.7,85.3,1952,Y,Y
1610612758,Rochester Royals,6,244,27.3,71.2,0.384,-99.0,-99.0,-99.0,27.3,71.2,0.384,28.7,38.2,0.751,-99.0,-99.0,48.7,22.5,-99.0,-99.0,-99.0,28.0,83.3,1952,Y,Y
1610612747,Minneapolis Lakers,13,245,29.2,72.6,0.403,-99.0,-99.0,-99.0,29.2,72.6,0.403,23.8,32.2,0.742,-99.0,-99.0,45.9,18.5,-99.0,-99.0,-99.0,27.6,82.3,1952,Y,Y
1610612765,Fort Wayne Pistons,2,240,31.0,82.5,0.376,-99.0,-99.0,-99.0,31.0,82.5,0.376,20.0,28.5,0.702,-99.0,-99.0,55.0,28.5,-99.0,-99.0,-99.0,34.0,82.0,1952,Y,Y
1610612738,Boston Celtics,71,-99,30.7,78.2,0.392,-99.0,-99.0,-99.0,30.7,78.2,0.392,26.8,36.9,0.728,-99.0,-99.0,54.4,23.5,-99.0,-99.0,-99.0,26.9,88.1,1953,Y,N
1610612758,Rochester Royals,70,-99,28.8,77.6,0.372,-99.0,-99.0,-99.0,28.8,77.6,0.372,28.6,39.2,0.73,-99.0,-99.0,51.8,21.7,-99.0,-99.0,-99.0,31.6,86.3,1953,Y,N
1610612755,Syracuse Nationals,71,-99,27.4,75.1,0.364,-99.0,-99.0,-99.0,27.4,75.1,0.364,30.9,41.5,0.745,-99.0,-99.0,48.9,20.5,-99.0,-99.0,-99.0,30.0,85.6,1953,Y,N
1610612752,New York Knicks,70,-99,29.4,76.3,0.386,-99.0,-99.0,-99.0,29.4,76.3,0.386,26.7,37.9,0.704,-99.0,-99.0,57.2,22.5,-99.0,-99.0,-99.0,29.3,85.5,1953,Y,N
1610612747,Minneapolis Lakers,70,-99,30.9,79.4,0.39,-99.0,-99.0,-99.0,30.9,79.4,0.39,23.4,31.7,0.739,-99.0,-99.0,48.7,19.3,-99.0,-99.0,-99.0,27.4,85.3,1953,Y,N
1610612764,Baltimore Bullets,70,-99,29.8,80.2,0.371,-99.0,-99.0,-99.0,29.8,80.2,0.371,24.9,36.3,0.686,-99.0,-99.0,53.2,21.6,-99.0,-99.0,-99.0,30.6,84.4,1953,Y,N
1610612765,Fort Wayne Pistons,69,-99,27.2,75.8,0.359,-99.0,-99.0,-99.0,27.2,75.8,0.359,26.7,36.1,0.738,-99.0,-99.0,51.4,20.8,-99.0,-99.0,-99.0,30.7,81.0,1953,Y,N
1610612744,Philadelphia Warriors,69,-99,28.8,80.4,0.358,-99.0,-99.0,-99.0,28.8,80.4,0.358,22.6,33.3,0.679,-99.0,-99.0,54.5,21.9,-99.0,-99.0,-99.0,27.0,80.2,1953,N,N
1610612737,Milwaukee Hawks,71,-99,26.4,74.9,0.352,-99.0,-99.0,-99.0,26.4,74.9,0.352,23.1,33.8,0.685,-99.0,-99.0,48.3,20.1,-99.0,-99.0,-99.0,29.9,75.9,1953,N,N
1610612755,Syracuse Nationals,2,290,26.0,70.5,0.369,-99.0,-99.0,-99.0,26.0,70.5,0.369,41.0,54.5,0.752,-99.0,-99.0,43.5,20.0,-99.0,-99.0,-99.0,54.5,93.0,1953,Y,Y
1610612738,Boston Celtics,6,256,27.3,72.3,0.378,-99.0,-99.0,-99.0,27.3,72.3,0.378,34.0,44.3,0.767,-99.0,-99.0,50.0,22.8,-99.0,-99.0,-99.0,36.0,88.7,1953,Y,Y
1610612752,New York Knicks,11,240,28.1,72.8,0.386,-99.0,-99.0,-99.0,28.1,72.8,0.386,26.8,37.6,0.713,-99.0,-99.0,58.2,22.5,-99.0,-99.0,-99.0,27.6,83.0,1953,Y,Y
1610612747,Minneapolis Lakers,12,240,28.5,75.6,0.377,-99.0,-99.0,-99.0,28.5,75.6,0.377,25.9,35.8,0.723,-99.0,-99.0,53.0,17.2,-99.0,-99.0,-99.0,31.0,82.9,1953,Y,Y
1610612765,Fort Wayne Pistons,8,240,21.8,62.8,0.347,-99.0,-99.0,-99.0,21.8,62.8,0.347,32.9,45.6,0.721,-99.0,-99.0,42.8,13.3,-99.0,-99.0,-99.0,34.4,76.4,1953,Y,Y
1610612758,Rochester Royals,3,240,21.0,66.3,0.317,-99.0,-99.0,-99.0,21.0,66.3,0.317,33.0,45.7,0.723,-99.0,-99.0,51.7,16.0,-99.0,-99.0,-99.0,39.7,75.0,1953,Y,Y
1610612764,Baltimore Bullets,2,240,26.5,76.0,0.349,-99.0,-99.0,-99.0,26.5,76.0,0.349,18.5,31.5,0.587,-99.0,-99.0,51.5,20.0,-99.0,-99.0,-99.0,27.0,71.5,1953,Y,Y
1610612738,Boston Celtics,72,-99,31.0,77.5,0.4,-99.0,-99.0,-99.0,31.0,77.5,0.4,25.7,35.4,0.726,-99.0,-99.0,53.7,24.6,-99.0,-99.0,-99.0,27.3,87.7,1954,Y,N
1610612755,Syracuse Nationals,72,-99,28.5,77.5,0.368,-99.0,-99.0,-99.0,28.5,77.5,0.368,26.5,36.8,0.719,-99.0,-99.0,50.7,21.4,-99.0,-99.0,-99.0,25.7,83.5,1954,Y,N
1610612747,Minneapolis Lakers,72,-99,30.3,80.6,0.376,-99.0,-99.0,-99.0,30.3,80.6,0.376,21.0,28.7,0.731,-99.0,-99.0,52.1,18.4,-99.0,-99.0,-99.0,26.6,81.7,1954,Y,N
1610612758,Rochester Royals,72,-99,27.9,75.7,0.369,-99.0,-99.0,-99.0,27.9,75.7,0.369,23.9,35.0,0.684,-99.0,-99.0,48.5,20.2,-99.0,-99.0,-99.0,26.4,79.8,1954,Y,N
1610612752,New York Knicks,72,-99,26.9,71.9,0.374,-99.0,-99.0,-99.0,26.9,71.9,0.374,25.3,35.1,0.721,-99.0,-99.0,53.2,20.4,-99.0,-99.0,-99.0,25.4,79.0,1954,Y,N
1610612764,Baltimore Bullets,72,-99,28.3,76.9,0.368,-99.0,-99.0,-99.0,28.3,76.9,0.368,21.8,32.1,0.677,-99.0,-99.0,53.0,19.2,-99.0,-99.0,-99.0,24.7,78.3,1954,N,N
1610612744,Philadelphia Warriors,72,-99,28.1,75.4,0.372,-99.0,-99.0,-99.0,28.1,75.4,0.372,22.0,31.6,0.698,-99.0,-99.0,49.8,20.4,-99.0,-99.0,-99.0,24.2,78.2,1954,N,N
1610612765,Fort Wayne Pistons,72,-99,27.1,72.0,0.376,-99.0,-99.0,-99.0,27.1,72.0,0.376,23.5,32.2,0.73,-99.0,-99.0,52.6,20.5,-99.0,-99.0,-99.0,23.2,77.7,1954,Y,N
1610612737,Milwaukee Hawks,72,-99,24.4,70.7,0.345,-99.0,-99.0,-99.0,24.4,70.7,0.345,21.2,30.6,0.692,-99.0,-99.0,44.5,18.0,-99.0,-99.0,-99.0,24.6,70.0,1954,N,N
1610612738,Boston Celtics,6,244,27.8,73.5,0.379,-99.0,-99.0,-99.0,27.8,73.5,0.379,31.3,42.2,0.743,-99.0,-99.0,52.0,22.3,-99.0,-99.0,-99.0,38.5,87.0,1954,Y,Y
1610612755,Syracuse Nationals,13,241,25.8,65.2,0.396,-99.0,-99.0,-99.0,25.8,65.2,0.396,29.9,43.5,0.687,-99.0,-99.0,45.5,18.1,-99.0,-99.0,-99.0,27.1,81.5,1954,Y,Y
1610612747,Minneapolis Lakers,13,240,28.5,71.3,0.4,-99.0,-99.0,-99.0,28.5,71.3,0.4,23.2,32.2,0.722,-99.0,-99.0,49.8,15.6,-99.0,-99.0,-99.0,28.5,80.3,1954,Y,Y
1610612758,Rochester Royals,6,240,27.0,68.0,0.397,-99.0,-99.0,-99.0,27.0,68.0,0.397,26.2,36.2,0.724,-99.0,-99.0,46.3,18.0,-99.0,-99.0,-99.0,26.2,80.2,1954,Y,Y
1610612752,New York Knicks,4,240,23.0,62.5,0.368,-99.0,-99.0,-99.0,23.0,62.5,0.368,33.0,44.8,0.737,-99.0,-99.0,50.0,16.0,-99.0,-99.0,-99.0,37.3,79.0,1954,Y,Y
1610612765,Fort Wayne Pistons,4,240,27.3,76.5,0.356,-99.0,-99.0,-99.0,27.3,76.5,0.356,21.5,28.8,0.748,-99.0,-99.0,41.3,16.8,-99.0,-99.0,-99.0,26.8,76.0,1954,Y,Y
1610612738,Boston Celtics,72,-99,36.2,90.7,0.399,-99.0,-99.0,-99.0,36.2,90.7,0.399,29.1,37.6,0.776,-99.0,-99.0,59.6,26.5,-99.0,-99.0,-99.0,25.8,101.5,1955,Y,N
1610612747,Minneapolis Lakers,72,-99,34.8,89.8,0.388,-99.0,-99.0,-99.0,34.8,89.8,0.388,26.0,35.0,0.744,-99.0,-99.0,53.7,20.4,-99.0,-99.0,-99.0,26.9,95.6,1955,Y,N
1610612744,Philadelphia Warriors,72,-99,33.2,86.6,0.384,-99.0,-99.0,-99.0,33.2,86.6,0.384,26.8,36.5,0.734,-99.0,-99.0,58.9,24.2,-99.0,-99.0,-99.0,23.8,93.2,1955,N,N
1610612752,New York Knicks,72,-99,33.2,85.4,0.389,-99.0,-99.0,-99.0,33.2,85.4,0.389,26.2,36.0,0.728,-99.0,-99.0,60.8,24.2,-99.0,-99.0,-99.0,22.0,92.7,1955,Y,N
1610612765,Fort Wayne Pistons,72,-99,32.4,83.1,0.39,-99.0,-99.0,-99.0,32.4,83.1,0.39,27.6,37.6,0.733,-99.0,-99.0,53.1,24.1,-99.0,-99.0,-99.0,24.3,92.4,1955,Y,N
